dac_sector_category_id,dac_sector_category_name,dac_sector_code,dac_sector_name,transaction_type_id,transaction_type_name,fiscal_year,current_amount,constant_amount
1,Education,111,"Education, Level Unspecified",2,Obligations,2001,18340146,24845600
1,Education,111,"Education, Level Unspecified",2,Obligations,2002,74143080,98842864
1,Education,111,"Education, Level Unspecified",2,Obligations,2003,67047995,87707997
1,Education,111,"Education, Level Unspecified",2,Obligations,2004,151898653,193901131
1,Education,111,"Education, Level Unspecified",2,Obligations,2005,223611947,276753762
1,Education,111,"Education, Level Unspecified",2,Obligations,2006,192971316,231307681
1,Education,111,"Education, Level Unspecified",2,Obligations,2007,225889405,263607617
1,Education,111,"Education, Level Unspecified",2,Obligations,2008,234326366,267892998
1,Education,111,"Education, Level Unspecified",2,Obligations,2009,282757897,319544692
1,Education,111,"Education, Level Unspecified",2,Obligations,2010,130488857,146179083
1,Education,111,"Education, Level Unspecified",2,Obligations,2011,110100470,120882675
1,Education,111,"Education, Level Unspecified",2,Obligations,2012,98484094,106189178
1,Education,111,"Education, Level Unspecified",2,Obligations,2013,53784751,57029595
1,Education,111,"Education, Level Unspecified",2,Obligations,2014,169171850,176171311
1,Education,111,"Education, Level Unspecified",2,Obligations,2015,142346655,146468136
1,Education,111,"Education, Level Unspecified",2,Obligations,2016,138273640,140650800
1,Education,111,"Education, Level Unspecified",2,Obligations,2017,50280724,50280724
1,Education,111,"Education, Level Unspecified",2,Obligations,2018,35641260,35091643
1,Education,111,"Education, Level Unspecified",3,Disbursements,2001,34750376,47076719
1,Education,111,"Education, Level Unspecified",3,Disbursements,2002,37857776,50469592
1,Education,111,"Education, Level Unspecified",3,Disbursements,2003,65291140,85409793
1,Education,111,"Education, Level Unspecified",3,Disbursements,2004,115116866,146948573
1,Education,111,"Education, Level Unspecified",3,Disbursements,2005,216193806,267572686
1,Education,111,"Education, Level Unspecified",3,Disbursements,2006,187032369,224188888
1,Education,111,"Education, Level Unspecified",3,Disbursements,2007,269249945,314208342
1,Education,111,"Education, Level Unspecified",3,Disbursements,2008,279458647,319490361
1,Education,111,"Education, Level Unspecified",3,Disbursements,2009,208108975,235183948
1,Education,111,"Education, Level Unspecified",3,Disbursements,2010,119309270,133655238
1,Education,111,"Education, Level Unspecified",3,Disbursements,2011,115907680,127258591
1,Education,111,"Education, Level Unspecified",3,Disbursements,2012,101260822,109183145
1,Education,111,"Education, Level Unspecified",3,Disbursements,2013,95951633,101740423
1,Education,111,"Education, Level Unspecified",3,Disbursements,2014,129411827,134766227
1,Education,111,"Education, Level Unspecified",3,Disbursements,2015,126648355,130315309
1,Education,111,"Education, Level Unspecified",3,Disbursements,2016,129576193,131803831
1,Education,111,"Education, Level Unspecified",3,Disbursements,2017,104147526,104147526
1,Education,111,"Education, Level Unspecified",3,Disbursements,2018,38341627,37750368
1,Education,112,Basic Education,2,Obligations,2001,87335133,118313873
1,Education,112,Basic Education,2,Obligations,2002,122998638,163973998
1,Education,112,Basic Education,2,Obligations,2003,244940947,320416431
1,Education,112,Basic Education,2,Obligations,2004,306526515,391286133
1,Education,112,Basic Education,2,Obligations,2005,390480753,483279257
1,Education,112,Basic Education,2,Obligations,2006,464740357,557067327
1,Education,112,Basic Education,2,Obligations,2007,548815080,640454270
1,Education,112,Basic Education,2,Obligations,2008,520064187,594561964
1,Education,112,Basic Education,2,Obligations,2009,815133631,921182520
1,Education,112,Basic Education,2,Obligations,2010,908172478,1017372839
1,Education,112,Basic Education,2,Obligations,2011,779144457,855446573
1,Education,112,Basic Education,2,Obligations,2012,937490504,1010836749
1,Education,112,Basic Education,2,Obligations,2013,918057327,973443965
1,Education,112,Basic Education,2,Obligations,2014,1031504175,1074182509
1,Education,112,Basic Education,2,Obligations,2015,801015952,824208459
1,Education,112,Basic Education,2,Obligations,2016,1218018634,1238958472
1,Education,112,Basic Education,2,Obligations,2017,1204243604,1204243604
1,Education,112,Basic Education,2,Obligations,2018,641373411,631482926
1,Education,112,Basic Education,3,Disbursements,2001,104404359,141437751
1,Education,112,Basic Education,3,Disbursements,2002,127714176,170260450
1,Education,112,Basic Education,3,Disbursements,2003,202447252,264828838
1,Education,112,Basic Education,3,Disbursements,2004,197233281,251771518
1,Education,112,Basic Education,3,Disbursements,2005,365832661,452773520
1,Education,112,Basic Education,3,Disbursements,2006,386753814,463587693
1,Education,112,Basic Education,3,Disbursements,2007,481905048,562371841
1,Education,112,Basic Education,3,Disbursements,2008,420623765,480876990
1,Education,112,Basic Education,3,Disbursements,2009,698605031,789493551
1,Education,112,Basic Education,3,Disbursements,2010,816488579,914664686
1,Education,112,Basic Education,3,Disbursements,2011,854504347,938186477
1,Education,112,Basic Education,3,Disbursements,2012,874434338,942847277
1,Education,112,Basic Education,3,Disbursements,2013,873944002,926669274
1,Education,112,Basic Education,3,Disbursements,2014,932191930,970761226
1,Education,112,Basic Education,3,Disbursements,2015,904107360,930284736
1,Education,112,Basic Education,3,Disbursements,2016,1137757873,1157317899
1,Education,112,Basic Education,3,Disbursements,2017,1243901247,1243901247
1,Education,112,Basic Education,3,Disbursements,2018,758672094,746972765
1,Education,113,Secondary Education,2,Obligations,2001,24815,33617
